,hsk03,hsk03_us,hsk_08,dubai,brent,wti,exr
23-04,5906687,2574538,438538,83.44,83.37,79.44,1320.01
23-03,6258915,2701706,484411,78.51,79.21,73.37,1305.73
23-02,5369767,2307074,448633,82.11,83.54,76.86,1270.74
23-01,4797781,2027721,418781,80.42,83.91,78.16,1247.25
22-12,5201391,2279105,430070,77.22,81.34,76.52,1296.22
22-11,5160253,2374677,487626,86.26,90.85,84.39,1364.1
22-10,4716609,2091558,412760,91.16,93.59,87.03,1426.66
22-09,4574495,2002369,393205,90.95,90.57,83.8,1391.59
22-08,3954946,1747485,418099,96.63,97.74,91.48,1318.44
22-07,4907226,2185685,457769,103.14,105.12,99.38,1307.4
22-06,3726499,1659732,407021,113.27,117.5,114.34,1277.35
22-05,3908749,1608121,412252,108.16,111.96,109.26,1269.88
22-04,4191342,1635428,409303,102.82,105.92,101.64,1232.34
22-03,3782908,1659822,453043,110.93,112.46,108.26,1221.03
22-02,3631862,1400449,350556,92.36,94.1,91.63,1198.34
22-01,3924053,1587488,342202,83.47,85.57,82.98,1194.01
21-12,4053649,1591351,373498,73.21,74.8,71.69,1183.7
21-11,3926337,1464825,342295,80.3,80.85,78.65,1182.91
21-10,3655070,1290706,354212,81.61,83.75,81.22,1182.82
21-09,3395841,1160012,360308,72.63,74.88,71.54,1169.54
21-08,2863877,1058375,361410,69.5,70.51,67.71,1160.34
21-07,3888586,1537232,393828,72.93,74.29,72.43,1143.98
21-06,3846118,1519640,399332,71.6,73.41,71.35,1121.3
21-05,3322196,1185224,374880,66.34,68.31,65.16,1123.28
21-04,3975318,1622169,389565,62.92,65.33,61.7,1119.4
21-03,4201058,1870022,446085,64.44,65.7,62.36,1131.02
21-02,3373564,1299460,332210,60.89,62.28,59.06,1111.72
21-01,3815566,1544469,363488,54.82,55.32,52.1,1097.49
20-12,3419613,1464207,396572,49.84,50.22,47.07,1095.13
20-11,3801074,1543056,367578,43.42,43.98,41.35,1116.76
20-10,3850403,1618665,385962,40.67,41.52,39.55,1144.68
20-09,3598873,1627210,370766,41.51,41.87,39.63,1178.8
20-08,2459444,1157530,305888,44,45.02,42.39,1186.85
20-07,3519795,1697716,367979,43.3,43.22,40.77,1198.9
